
A T O M   T Y P E S

IDX	TYPE	RING
1	C_3	NO
2	C_2	NO
3	O_2	NO
4	O_2	NO
5	C_R	AR
6	C_R	AR
7	C_R	AR
8	C_R	AR
9	C_R	AR
10	C_R	AR
11	C_2	NO
12	O_2	NO
13	O_2	NO
14	H_	NO
15	H_	NO
16	H_	NO
17	H_	NO
18	H_	NO
19	H_	NO
20	H_	NO
21	H_	NO

S E T T I N G   U P   C A L C U L A T I O N S

SETTING UP BOND CALCULATIONS...
SETTING UP ANGLE CALCULATIONS...
SETTING UP TORSION CALCULATIONS...
SETTING UP OOP CALCULATIONS...
SETTING UP VAN DER WAALS CALCULATIONS...

S T E E P E S T   D E S C E N T

STEPS = 10000

STEP n       E(n)         E(n-1)    
------------------------------------
    0     292.187      ----
   10    178.59064    180.32406
   20    169.65333    170.18135
   30    166.06440    166.33933
   40    163.82822    164.02658
   50    162.03572    162.20745
   60    160.39166    160.55589
   70    158.76362    158.93077
   80    157.06273    157.24145
   90    155.19882    155.39942
  100    153.05021    153.28802
  110    150.42023    150.72216
  120    147.14287    147.36579
  130    146.69426    146.72090
  140    146.43317    146.45934
  150    146.17454    146.20066
  160    145.91425    145.94072
  170    145.64800    145.67530
  180    145.37110    145.39972
  190    145.07802    145.10858
  200    144.76195    144.79523
  210    144.41406    144.45108
  220    144.02229    144.06450
  230    143.56942    143.61895
  240    143.02953    143.08967
  250    142.36113    142.43740
  260    141.97746    141.98632
  270    141.88951    141.89838
  280    141.80097    141.80994
  290    141.71087    141.72005
  300    141.61818    141.62767
  310    141.52172    141.53166
  320    141.42013    141.43066
  330    141.31176    141.32307
  340    141.19455    141.20687
  350    141.06583    141.07948
  360    140.92205    140.93744
  370    140.75829    140.77601
  380    140.56741    140.58835
  390    140.37641    140.38146
  400    140.33875    140.34247
  410    140.30163    140.30538
  420    140.26399    140.26781
  430    140.22555    140.22946
  440    140.18600    140.19004
  450    140.14499    140.14920
  460    140.10213    140.10655
  470    140.05695    140.06162
  480    140.00887    140.01387
  490    139.95720    139.96260
  500    139.90107    139.90697
  510    139.83933    139.84587
  520    139.77048    139.77783
  530    139.69240    139.70082
  540    139.62731    139.62911
  550    139.61004    139.61178
  560    139.59262    139.59438
  570    139.57496    139.57675
  580    139.55699    139.55881
  590    139.53860    139.54047
  600    139.51969    139.52162
  610    139.50013    139.50213
  620    139.47980    139.48189
  630    139.45853    139.46072
  640    139.43613    139.43844
  650    139.41238    139.41484
  660    139.38700    139.38964
  670    139.35964    139.36250
  680    139.32985    139.33298
  690    139.29786    139.30067
  700    139.28389    139.28498
  710    139.27284    139.27396
  720    139.26151    139.26267
  730    139.24985    139.25104
  740    139.23778    139.23902
  750    139.22523    139.22652
  760    139.21210    139.21345
  770    139.19828    139.19970
  780    139.18364    139.18515
  790    139.16800    139.16963
  800    139.15117    139.15293
  810    139.13285    139.13477
  820    139.11265    139.11479
  830    139.09538    139.09606
  840    139.08904    139.08967
  850    139.08262    139.08327
  860    139.07603    139.07670
  870    139.06923    139.06992
  880    139.06217    139.06289
  890    139.05480    139.05556
  900    139.04707    139.04786
  910    139.03888    139.03973
  920    139.03015    139.03106
  930    139.02075    139.02174
  940    139.01053    139.01161
  950    138.99926    139.00045
  960    138.98660    138.98796
  970    138.97576    138.97611
  980    138.97251    138.97284
  990    138.96920    138.96953
 1000    138.96583    138.96617
 1010    138.96237    138.96272
 1020    138.95881    138.95918
 1030    138.95513    138.95551
 1040    138.95129    138.95169
 1050    138.94726    138.94768
 1060    138.94299    138.94343
 1070    138.93842    138.93890
 1080    138.93349    138.93401
 1090    138.92808    138.92865
 1100    138.92206    138.92270
 1110    138.91521    138.91595
 1120    138.90719    138.90807
 1130    138.90200    138.90222
 1140    138.89979    138.90002
 1150    138.89748    138.89772
 1160    138.89506    138.89531
 1170    138.89247    138.89274
 1180    138.88967    138.88997
 1190    138.88661    138.88693
 1200    138.88320    138.88356
 1210    138.87931    138.87973
 1220    138.87477    138.87527
 1230    138.86921    138.86984
 1240    138.86363    138.86379
 1250    138.86223    138.86237
 1260    138.86079    138.86094
 1270    138.85926    138.85942
 1280    138.85763    138.85780
 1290    138.85584    138.85603
 1300    138.85383    138.85405
 1310    138.85154    138.85179
 1320    138.84882    138.84912
 1330    138.84546    138.84584
 1340    138.84103    138.84155
 1350    138.83859    138.83869
 1360    138.83753    138.83764
 1370    138.83637    138.83649
 1380    138.83508    138.83522
 1390    138.83359    138.83375
 1400    138.83180    138.83200
 1410    138.82953    138.82979
 1420    138.82641    138.82679
 1430    138.82339    138.82346
 1440    138.82271    138.82278
 1450    138.82206    138.82213
 1460    138.82144    138.82150
 1470    138.82082    138.82089
 1480    138.82019    138.82026
 1490    138.81953    138.81960
 1500    138.81882    138.81890
 1510    138.81803    138.81811
 1520    138.81710    138.81720
 1530    138.81595    138.81608
 1540    138.81444    138.81462
 1550    138.81222    138.81250
 1560    138.81004    138.81009
 1570    138.80955    138.80960
 1580    138.80900    138.80906
 1590    138.80836    138.80843
 1600    138.80756    138.80765
 1610    138.80646    138.80659
 1620    138.80468    138.80492
 1630    138.80128    138.80138
